cenario,modulo,datahora_sinal,datahora_entrada,datahora_saida,direcao,take,stop,pontos,resultado
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-11-12 03:48:00,2024-11-12 03:50:00,2024-11-12 11:56:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-11-15 10:30:00,2024-11-15 10:32:00,2024-11-15 11:18:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-11-17 20:58:00,2024-11-17 21:00:00,2024-11-17 21:52:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-11-18 03:48:00,2024-11-18 03:50:00,2024-11-18 10:12:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-11-19 03:48:00,2024-11-19 03:50:00,2024-11-19 05:40:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-11-20 20:58:00,2024-11-20 21:00:00,2024-11-20 22:14:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-11-26 03:48:00,2024-11-26 03:50:00,2024-11-26 11:04:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-11-29 10:30:00,2024-11-29 10:32:00,2024-11-29 12:10:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-12-02 03:48:00,2024-12-02 03:50:00,2024-12-02 09:10:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-12-02 10:30:00,2024-12-02 10:32:00,2024-12-02 11:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-12-03 03:48:00,2024-12-03 03:50:00,2024-12-03 17:54:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-12-09 10:30:00,2024-12-09 10:32:00,2024-12-09 12:52:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-12-16 03:48:00,2024-12-16 03:50:00,2024-12-16 07:00:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-12-16 10:30:00,2024-12-16 10:32:00,2024-12-16 11:52:00,BUY,45.5,117.0,45.5,TAKE
